OID_,agency,agency_des,comments,municipali,sdelength_,st_area_sh,Shape_Length,Shape_Area,PercentBlack,OBJECTID,agency_des_1,ZONE_CODE,COUNT,AREA,MEAN
1,1,NORTHFIELD TWP, , ,1127.096057,72861.12378,1127.095861,72861.10315,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
2,1,NORTHFIELD TWP, , ,1031.391682,64052.69948,1031.391791,64052.71261,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
3,1,ORLAND TWP, , ,1063.807265,69288.44536,1063.807301,69288.45006,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
4,1,HANOVER TWP, , ,2133.580304,255103.4272,2133.580311,255103.355,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
5,1,PALATINE TWP, , ,14367.94367,6438445.555,14367.94369,6438445.663,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
6,1,NEW TRIER TWP, , ,29436.6027,16779407.37,29436.602,16779407.37,,5,NEW TRIER TWP,5,177930,4448099.057,4.041398303
7,1,NORTHFIELD TWP, , ,1713.804161,155135.4771,1713.80378,155135.4043,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
9,1,BLOOM TWP, , ,5387.248552,582776.4815,5395.786664,557706.8804,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
10,1,ORLAND TWP, , ,2757.078277,272554.6208,2757.077976,272554.7243,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
11,1,BARRINGTON TWP, , ,2014.624266,196747.1901,2014.624551,196747.2021,,8,BARRINGTON TWP,8,643037,16075379.49,3.114811434
13,1,PALATINE TWP, , ,2551.021114,274115.8245,2551.021195,274115.8694,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
14,1,LYONS TWP, , ,723.6908592,27367.74334,723.6911169,27367.74677,,10,LYONS TWP,10,1724469,43110262.08,5.526359129
15,1,BREMEN TWP, , ,601.361499,20040.04832,601.3609765,20040.00569,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
16,1,CALUMET TWP, , ,8657.914279,3701685.646,8657.914514,3701685.784,,12,CALUMET TWP,12,259844,6495879.567,8.733147581
18,1,RICH TWP, , ,8000.41558,3326484.328,8000.415834,3326484.163,,14,RICH TWP,14,2302273,57554871.91,5.041950281
19,1,RICH TWP, , ,586.9864025,19825.41795,586.9865526,19825.39592,,14,RICH TWP,14,2302273,57554871.91,5.041950281
21,1,THORNTON TWP, , ,891.3775755,43676.03634,891.3776048,43676.04593,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
22,1,THORNTON TWP, , ,299.0569243,3873.366255,299.056951,3873.372592,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
24,1,BREMEN TWP, , ,1368.758043,70411.40713,1368.757695,70411.4188,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
25,1,BLOOM TWP, , ,4024.220551,941292.8112,4024.220122,941292.5458,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
31,1,MAINE TWP, , ,87393.5552,62440017.19,5909.742667,285448.6762,,23,MAINE TWP,23,2767779,69192127.01,7.063656094
32,1,ORLAND TWP, , ,4652.804264,770144.138,4652.804407,770144.1067,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
34,1,ORLAND TWP, , ,1446.06691,129717.3054,1446.066669,129717.3146,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
35,1,WORTH TWP, , ,8692.273929,743580.9213,8692.27397,743580.827,,25,WORTH TWP,25,2781265,69529265.57,8.141495686
37,1,BREMEN TWP, , ,684.4133432,17021.73647,684.4135403,17021.75486,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
38,1,BREMEN TWP, , ,499.2221396,14967.34809,499.2222863,14967.34759,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
39,1,THORNTON TWP, , ,1991.605875,177732.6423,1991.605739,177732.5526,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
41,1,THORNTON TWP, , ,558.9391405,17866.85992,558.9391136,17866.84905,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
42,1,THORNTON TWP, , ,922.8148501,42854.32633,922.8144951,42854.25815,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
43,1,NORTHFIELD TWP, , ,7832.089773,3458029.184,7832.08991,3458029.175,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
44,1,HANOVER TWP, , ,945.4787721,52660.61552,945.4783656,52660.59582,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
48,1,SCHAUMBURG TWP, , ,861.3759347,33137.39794,861.3755159,33137.34173,,30,SCHAUMBURG TWP,30,1428529,35712013.14,4.179084919
49,1,SCHAUMBURG TWP, , ,2469.33979,246029.0871,2469.339022,246028.9608,,30,SCHAUMBURG TWP,30,1428529,35712013.14,4.179084919
51,1,THORNTON TWP, , ,1478.030149,47264.87968,1478.030546,47264.96589,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
52,1,WHEELING TWP, , ,2013.49955,163589.1606,2013.499471,163589.1812,,32,WHEELING TWP,32,577824,14445109.82,5.558469361
53,1,PALATINE TWP, , ,866.9431817,19941.82578,866.9429678,19941.84537,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
54,1,PALATINE TWP, , ,961.6226366,56204.96612,961.6226768,56204.97128,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
55,1,PROVISO TWP, , ,15600.57356,7295185.696,15600.57453,7295185.689,,33,PROVISO TWP,33,1724786,43118186.81,5.933969779
56,1,LYONS TWP, , ,293.8162713,3697.56248,293.8160687,3697.559917,,10,LYONS TWP,10,1724469,43110262.08,5.526359129
57,1,BREMEN TWP, , ,94744.40745,100612628.7,1272.83007,17904.00505,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
59,1,PALATINE TWP, , ,5881.410138,1969320.323,5881.410821,1969320.459,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
60,1,BLOOM TWP, , ,597.7840033,22012.88454,597.7840583,22012.88622,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
61,1,THORNTON TWP, , ,2931.009796,428155.1944,2931.01017,428155.3092,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
62,1,ORLAND TWP, , ,2644.760599,64228.39786,2644.761092,64228.47255,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
63,1,BLOOM TWP, , ,14717.52314,8736159.148,14717.52324,8736158.988,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
64,1,RICH TWP, , ,5684.158688,1228010.956,5684.158969,1228010.983,,14,RICH TWP,14,2302273,57554871.91,5.041950281
65,1,PALOS TWP, , ,5647.739901,1532981.933,5647.739884,1532981.844,,35,PALOS TWP,35,2983360,74581469.13,4.343107436
67,1,SCHAUMBURG TWP, , ,8042.776785,1295584.427,8042.776722,1295584.452,,30,SCHAUMBURG TWP,30,1428529,35712013.14,4.179084919
70,1,BREMEN TWP, , ,15554.66907,5945193.737,15554.66862,5945193.933,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
72,1,PALATINE TWP, , ,796.0798928,32497.03366,796.0796308,32497.07279,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
73,1,MAINE TWP, , ,35088.77553,18342822.17,35088.77364,18342816.71,,23,MAINE TWP,23,2767779,69192127.01,7.063656094
74,1,LEMONT TWP, , ,5855.908928,1173258.374,5855.90951,1173258.344,,40,LEMONT TWP,40,6636870,165916119.8,2.945720648
75,1,RICH TWP, , ,13090.08053,10226568.13,13090.0801,10226568.03,,14,RICH TWP,14,2302273,57554871.91,5.041950281
76,1,STICKNEY TWP, , ,9159.805324,3544686.365,9159.804922,3544686.244,,41,STICKNEY TWP,41,1357311,33931623.55,9.509441093
77,1,ORLAND TWP, , ,965.887686,55313.09333,965.8875529,55313.11397,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
78,1,WHEELING TWP, , ,9873.109107,4280843.679,9873.108875,4280844.103,,32,WHEELING TWP,32,577824,14445109.82,5.558469361
79,1,BREMEN TWP, , ,1205.372269,90829.27315,1205.372534,90829.32284,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
80,1,BREMEN TWP, , ,1162.468552,84368.15428,1162.468039,84368.13723,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
82,1,BLOOM TWP, , ,6800.792849,829654.874,6800.793116,829655.0036,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
83,1,ELK GROVE TWP, , ,1210.029817,57461.87369,1210.030156,57461.89967,,43,ELK GROVE TWP,43,1450520,36261769.48,7.045259631
85,1,NORTHFIELD TWP, , ,780.5327068,32221.77112,780.5326733,32221.70022,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
93,1,RICH TWP, , ,1900.383716,224265.8219,1900.383732,224265.8569,,14,RICH TWP,14,2302273,57554871.91,5.041950281
94,1,ORLAND TWP, , ,1078.602364,46132.34579,1078.601886,46132.34824,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
95,1,BREMEN TWP, , ,1459.194098,56182.91526,1459.194441,56182.91048,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
96,1,BREMEN TWP, , ,1819.837346,148822.6892,1819.836707,148822.6456,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
97,1,SCHAUMBURG TWP, , ,5448.794215,377416.4373,5448.794452,377416.3391,,30,SCHAUMBURG TWP,30,1428529,35712013.14,4.179084919
98,1,HANOVER TWP, , ,3085.508734,425177.4103,3085.508926,425177.4823,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
99,1,HANOVER TWP, , ,3018.765006,327264.4446,3018.765592,327245.7438,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
100,1,PALOS TWP, , ,2384.0197,335755.4206,2384.019467,335755.3044,,35,PALOS TWP,35,2983360,74581469.13,4.343107436
101,1,NORTHFIELD TWP, , ,21899.68108,10604707.44,21899.68187,10604707.13,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
102,1,LYONS TWP, , ,27659.71368,5884784.295,27659.71328,5884784.31,,10,LYONS TWP,10,1724469,43110262.08,5.526359129
103,1,BREMEN TWP, , ,796.8730536,39706.71165,796.8732775,39706.72822,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
104,1,THORNTON TWP, , ,836.1758276,37344.9629,836.1761664,37344.97438,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
105,1,PALATINE TWP, , ,36281.24882,33931343.54,36281.2498,33931344.35,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
106,1,MAINE TWP, , ,15396.1054,8043078.845,14582.49732,7948831.659,,23,MAINE TWP,23,2767779,69192127.01,7.063656094
107,1,BREMEN TWP, , ,2474.427642,220053.4775,2474.427542,220053.46,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
108,1,BLOOM TWP, , ,109084.5765,113997481.9,111114.3509,113665668.8,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
109,1,BREMEN TWP, , ,8124.63696,3395157.086,4012.311176,893197.175,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
110,1,ELK GROVE TWP, , ,6480.218403,1790630.584,6480.218702,1790630.621,,43,ELK GROVE TWP,43,1450520,36261769.48,7.045259631
111,1,NORTHFIELD TWP, , ,6211.138564,768582.4237,825.8759504,40908.84257,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
112,1,LYONS TWP, , ,702.8691091,25148.68273,702.8691301,25148.70197,,10,LYONS TWP,10,1724469,43110262.08,5.526359129
113,1,LYONS TWP, , ,4765.918674,775515.5416,4765.919408,775515.5305,,10,LYONS TWP,10,1724469,43110262.08,5.526359129
114,1,ELK GROVE TWP, , ,2981.22955,471913.6834,2981.2295,471913.5239,,43,ELK GROVE TWP,43,1450520,36261769.48,7.045259631
115,1,ORLAND TWP, , ,817.7395083,22922.02343,744.3073684,21790.46628,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
116,1,PALATINE TWP, , ,2162.263842,261953.4204,2162.263796,261953.4223,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
117,1,NORTHFIELD TWP, , ,2467.547856,373251.1838,2467.54743,373251.1904,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
119,1,THORNTON TWP, , ,5482.114508,1864448.211,5482.11437,1864448.062,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
120,1,RICH TWP, , ,674.3960713,19530.83488,674.3956695,19530.81511,,14,RICH TWP,14,2302273,57554871.91,5.041950281
121,1,BLOOM TWP, , ,758.4409968,34273.44021,758.4408342,34273.42314,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
124,1,BREMEN TWP, , ,534.0429561,16258.28646,534.0424055,16258.2848,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
125,1,BREMEN TWP, , ,366.9267767,7588.590619,366.9267612,7588.591727,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
128,1,SCHAUMBURG TWP, , ,848.7814582,40482.86559,848.7819188,40482.90185,,30,SCHAUMBURG TWP,30,1428529,35712013.14,4.179084919
129,1,NORTHFIELD TWP, , ,2094.511837,156579.33,2094.510416,156579.2568,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
130,1,BREMEN TWP, , ,1199.560663,79939.42161,1199.560279,79939.40224,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
131,1,ORLAND TWP, , ,1402.892205,75375.24944,1402.892064,75375.291,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
132,1,BREMEN TWP, , ,856.9832481,38633.72589,856.9836301,38633.73895,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
133,1,BREMEN TWP, , ,590.0204759,20284.54866,590.0204262,20284.55408,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
134,1,ORLAND TWP, , ,7833.366358,2858885.168,7833.366898,2858885.221,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
135,1,THORNTON TWP, , ,308.8782856,3242.520917,308.8780275,3242.512468,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
136,1,HANOVER TWP, , ,839.7014143,43218.16862,839.7011056,43218.13475,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
137,1,NORTHFIELD TWP, , ,938.6173798,50076.97539,938.6167495,50076.97357,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
139,1,PALOS TWP, , ,1444.224327,106407.4772,1444.224508,106407.1068,,35,PALOS TWP,35,2983360,74581469.13,4.343107436
140,1,LEMONT TWP, , ,230434.3343,324294403.6,208.5903161,18.84830061,,40,LEMONT TWP,40,6636870,165916119.8,2.945720648
141,1,LYONS TWP, , ,3230.419449,472213.786,3230.419362,472213.8347,,10,LYONS TWP,10,1724469,43110262.08,5.526359129
142,1,ORLAND TWP, , ,1005.584366,21046.18311,1005.584323,21046.16215,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
143,1,ORLAND TWP, , ,13263.03328,641651.8306,12054.83171,388867.8865,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
144,1,BREMEN TWP, , ,1126.065017,45616.94716,1126.065035,45616.87775,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
145,1,HANOVER TWP, , ,3651.503585,664567.7154,3651.503397,664567.8016,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
146,1,PALOS TWP, , ,52704.91301,26305455.2,52028.32874,25528543.09,,35,PALOS TWP,35,2983360,74581469.13,4.343107436
147,1,ORLAND TWP, , ,5139.53155,1332320.413,5139.532349,1332320.582,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
148,1,STICKNEY TWP, , ,35005.61563,23035883.58,35005.61576,23035883.6,,41,STICKNEY TWP,41,1357311,33931623.55,9.509441093
149,1,LYONS TWP, , ,989.8844799,61202.34834,989.8847743,61202.38635,,10,LYONS TWP,10,1724469,43110262.08,5.526359129
150,1,PALATINE TWP, , ,4872.334978,669270.4959,4872.334777,669270.3086,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
151,1,NORTHFIELD TWP, , ,589.3011232,19412.87553,589.30125,19412.88356,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
152,1,THORNTON TWP, , ,2362.883895,311967.8264,2362.883469,311967.7452,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
154,1,NORWOOD PARK TWP, , ,9931.672565,5895437.092,9931.673046,5895437.426,,57,NORWOOD PARK TWP,57,484281,12106614.17,8.355832667
155,1,HANOVER TWP, , ,11618.17943,3496957.858,11618.17951,3496957.79,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
156,1,ELK GROVE TWP, , ,2227.46082,259435.8459,4585.405591,695088.5949,,43,ELK GROVE TWP,43,1450520,36261769.48,7.045259631
157,1,WHEELING TWP, , ,23260.58697,22900312.83,23260.58526,22900312.84,,32,WHEELING TWP,32,577824,14445109.82,5.558469361
158,1,PALOS TWP, , ,3039.614479,366283.9718,3039.61336,366283.4809,,35,PALOS TWP,35,2983360,74581469.13,4.343107436
159,1,ORLAND TWP, , ,28328.25098,17768609.15,28328.24936,17768609.04,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
160,1,HYDE PARK TWP, , ,4451.709857,970365.8437,4451.71044,970365.905,,58,HYDE PARK TWP,58,1914,47848.3763,8.482758621
161,1,LEYDEN TWP, , ,3964.561423,703073.454,3964.561215,703073.2889,,59,LEYDEN TWP,59,2006044,50149398.21,7.608333117
162,1,NORTHFIELD TWP, , ,1934.823945,224665.2653,1934.82391,224665.2516,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
163,1,BLOOM TWP, , ,612.2156175,20973.45143,612.215579,20973.45375,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
165,1,RICH TWP, , ,3163.613098,345462.1547,3163.612201,345461.852,,14,RICH TWP,14,2302273,57554871.91,5.041950281
166,1,BLOOM TWP, , ,7242.39178,2900385.403,7242.391429,2900385.45,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
167,1,HANOVER TWP, , ,2037.862817,238456.9446,2037.862942,238456.9928,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
168,1,BREMEN TWP, , ,802.8262357,30462.84108,802.8255977,30462.81473,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
169,1,WORTH TWP, , ,20923.88042,11973540.41,20923.87957,11973540.2,,25,WORTH TWP,25,2781265,69529265.57,8.141495686
